Inject,Link,Team Member,Reviewed,Submitted,,System/Task,Password chng,Account Creation
Inject 1,,,FALSE,FALSE,,Graylog,FALSE,FALSE
Inject 2,,,FALSE,FALSE,,PaloAlto,FALSE,FALSE
Inject 3,,,FALSE,FALSE,,CA,FALSE,FALSE
Inject 4,,,FALSE,FALSE,,DC,FALSE,FALSE
Inject 5,,,FALSE,FALSE,,NginxProxy,FALSE,FALSE
Inject 6,,,FALSE,FALSE,,K8 Master,FALSE,FALSE
Inject 7,,,FALSE,FALSE,,K8 Worker 1,FALSE,FALSE
Inject 8,,,FALSE,FALSE,,K8 Worker 2,FALSE,FALSE
Inject 9,,,FALSE,FALSE,,K8 Worker 3,FALSE,FALSE
Inject 10,,,FALSE,FALSE,,Database,FALSE,FALSE
Inject 11,,,FALSE,FALSE,,Workstation 1,FALSE,FALSE
Inject 12,,,FALSE,FALSE,,Management Int,FALSE,FALSE
Inject 13,,,FALSE,FALSE,,,,
Inject 14,,,FALSE,FALSE,,,,
Inject 15,,,FALSE,FALSE,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Members,,,,,,,,
Matt,,,,,,,,
Pranathi,,,,,,,,
Viktor,,,,,,,,
Rohan,,,,,,,,
Justin,,,,,,,,
Tyler,,,,,,,,
Andrew,,,,,,,,
Sam,,,,,,,,
Johnny,,,,,,,,
Ryan,,,,,,,,
Chisom,,,,,,,,
Declan,,,,,,,,